"","comid","agrc","frst","shrb","urbn","wtnd","agrc_t","frst_t","shrb_t","urbn_t","wtnd_t","p_ant","p_frt","p_shb","p_ant_t","p_frt_t","p_shb_t","hl","hrl","ht","hrt","X","rsp_loc","FromNode","ToNode","Hydrosq","rch_lgt","rch_slp","rvr_lgt","rvr_slp","cat_are","wsd_are","rch_are","rch_lgtm","crsp_mss","csar_rch","clgt_rch","crsp_sta","crsp_wsa","rch_wdt","d50m","order","bkf_wdt","doc_annual","do_annual","nitrates","res_time","hz_exchng","aer_resp","anb_resp"
"1",23099420,6.30699088145897,0.314806773773339,9.73729917498914,70.4515848892749,13.1893182805037,15.6900830905363,31.3801661810726,45.6566310564368,5.60051796697961,1.67260170497464,76.7585757707338,13.504125054277,9.73729917498914,21.2906010575159,33.0527678860473,45.6566310564368,0.70020833366263,0.637357092110739,1.05321857047112,0.958680857054654,5,0.127100901019156,50019144,50019143,50004412,3.264,0,11435.74,0.033919,5.88,15229.08,383495.0319,3264,2015458646,68299481.24,11435736,29.50913549,0.132342771,117.492354505942,0.0002178005,7,2.10680483900017,2.32539202723663,10.8632964347727,0.424408403427716,316548326.190513,1.6201e-06,0.125761852093601,0.00133904892555523
"2",23099422,0,0,23.253096517878,75.8705304977799,0.876372984342136,15.6883901596893,31.3875701337937,45.673284419508,5.57833405265429,1.67242123435477,75.8705304977799,0.876372984342136,23.253096517878,21.2667242123435,33.0599913681485,45.673284419508,0.590225573979249,0.537246469994253,1.05305958083932,0.958536138455163,6,7.00266933441162,50019145,50019144,50004425,0.427,0,11432.47,0.033929,0.36,15223.2,50159.03681,427,2015409903,67915986.21,11432472,29.67504436,0.132390687,117.468473190908,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"3",23099424,8.24710894704808,0,33.2623250152161,57.9427875836884,0.547778454047474,15.6883901596893,31.3875701337937,45.673284419508,5.57833405265429,1.67242123435477,66.1898965307365,0.547778454047474,33.2623250152161,21.2667242123435,33.0599913681485,45.673284419508,0.667783987160468,0.607843180026731,1.05305958083932,0.958536138455163,7,6.17546033859253,50019146,50019145,50004438,0.686,0,11432.05,0.03393,4.99,15222.84,80582.36248,686,2015058656,67865827.17,11432045,29.69180131,0.132370744,117.467010978883,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"4",23099426,14.3572788297766,0,42.6209798617373,42.5809037170624,0.440837591423705,15.6957928802589,31.3915857605178,45.663430420712,5.57713052858684,1.67206040992449,56.938182546839,0.440837591423705,42.6209798617373,21.2729234088457,33.0636461704423,45.663430420712,0.708072024856132,0.644514932301145,1.05311875589316,0.958590001910407,8,2.7571042167819,50019147,50019146,50004449,0.267,0,11431.36,0.033932,7.01,15217.85,31358.27744,267,2014561023,67785244.81,11431359,29.71975728,0.132381448,117.446740417827,0.0037146006,7,2.10665667310873,2.24263145533563,10.8631956682349,0.424341161378862,2776816.83222033,3.90511000000004e-05,2.73000769258709,0.027096524194811
"5",23099428,2.62876683051934,0,10.7074161145544,83.0305620859158,3.63325496901047,15.6991799741044,31.4091497626241,45.673284419508,5.54596460940872,1.67242123435477,85.6593289164351,3.63325496901047,10.7074161145544,21.2451445835132,33.0815709969789,45.673284419508,0.492266418127814,0.448080203731025,1.05296419584755,0.958449315294027,9,4.0191276322935,50019148,50019147,50004460,0.446,0,11431.09,0.033933,0.48,15210.84,52368.54777,446,2014474565,67753886.53,11431092,29.7322363,0.132436773,117.418259092168,0.0041840663,7,2.1065641965895,2.3190886669112,10.8631327299594,0.42429019047428,2623059.23887513,5.07600000000003e-05,3.97627836050087,0.0428492717926278
"6",23099430,10.2414045354792,0,5.20430557007002,83.5092486153203,1.04504127913053,15.6991799741044,31.4091497626241,45.673284419508,5.54596460940872,1.67242123435477,93.7506531507995,1.04504127913053,5.20430557007002,21.2451445835132,33.0815709969789,45.673284419508,0.261987097862509,0.23847093334458,1.05296419584755,0.958449315294027,10,0.583049007327998,50019149,50019148,50004472,0.217,0,11430.65,0.033934,0.54,15210.37,25479.34447,217,2014264089,67701517.99,11430646,29.75212593,0.132427028,117.416349515936,0.0014509961,7,2.10655791034733,2.35605652002831,10.8631285090946,0.424287857530694,28777059.1209634,6.93969999999994e-06,0.576692628617393,0.0063563787106047
"7",23099432,24.6294416243655,0,22.0812182741117,52.9137055837563,0.375634517766497,15.6991799741044,31.4091497626241,45.673284419508,5.54596460940872,1.67242123435477,77.5431472081218,0.375634517766497,22.0812182741117,21.2451445835132,33.0815709969789,45.673284419508,0.551720641204181,0.502197769763756,1.05296419584755,0.958449315294027,11,1.39666328662348,50019150,50019149,50004484,2.19,0,11430.43,0.033935,12.01,15209.82,257136.9499,2190,2014249233,67676038.64,11430429,29.7631078,0.13243084,117.414114461697,0.002312849,7,2.10655075638813,2.27810570543365,11.4774839244086,0.424284905695504,11308389.6398449,1.76847e-05,1.38524680010872,0.0114164865147594
"8",23099434,4.81169424423916,0,70.3786417622576,24.8096639935032,0,15.6826767404209,31.4516999460335,45.7096600107933,5.48300053966541,1.67296276308689,29.6213582377424,0,70.3786417622576,21.1656772800863,33.1246627091203,45.7096600107933,0.607621860135885,0.553081252051648,1.05249303825439,0.958020449170807,12,1.23472070378606,50019151,50019150,50004497,0.385,0,11425.76,0.033948,0.36,15193.91,45179.53551,385,2013889333,67415236.85,11425764,29.87291044,0.132545825,117.349447713079,0.0022234613,7,2.10634049209308,2.21594554951067,10.8629806066952,0.424037247097292,8286734.65523405,1.63674999999998e-05,1.22297176832015,0.0117489354659082
"9",23099436,14.88339505555,0,25.1025923330998,60.0140126113502,0,15.6900830905363,31.455703032265,45.6997949714039,5.48181720082011,1.67260170497464,74.8974076669002,0,25.1025923330998,21.1719002913564,33.1283047372397,45.6997949714039,0.563459432434412,0.512882878014696,1.05255265769329,0.958074717122764,13,0.538132600043769,50019152,50019151,50004510,3.238,0,11425.38,0.033949,5.78,15193.55,379972.7451,3238,2013833549,67370057.32,11425379,29.89211571,0.132545294,117.34798428061,0.0014567349,7,2.10633572161485,2.26985145153847,10.8629773701016,0.42403626736577,36289767.7332618,7.15769999999998e-06,0.532776785048267,0.0053558149955021
"10",23099438,48.2338359843008,0,22.1545135302623,29.167527370378,0.444123115058872,15.6826767404209,31.4840798704803,45.7204533189422,5.43982730706962,1.67296276308689,77.4013633546788,0.444123115058872,22.1545135302623,21.1225040474906,33.1570426335672,45.7204533189422,0.556230265488001,0.506302606684238,1.05226429711606,0.957812240013956,14,0.122840297939044,50019153,50019152,50004523,2.694,0,11420.3,0.033963,7.67,15178.66,315972.3668,2694,2013622094,66985745.79,11420304,30.06045645,0.132661387,117.287433474016,0.0006978224,7,2.10613885546525,2.27769073107841,10.8628434337674,0.42249364137247,196230481.033904,1.57390000000001e-06,0.121613894682122,0.00122640325692256
