"COMID","totco2g_day","pred_total","totco2g_day_fill","pred_logw_m","stream_length_m","pred_stream_area_m2_fill"
"137182882",NA,25635618,25635618,2.11027435415945,1659,213855.643273348
"23735691",NA,1530935,1530935,2.21793614172062,500,82585.9455042234
"23751752",13418186.4690411,13710650,13418186.4690411,1.73639183245279,1060,57717.8008900647
"23751754",3760791.37816438,4544734,3760791.37816438,1.73628199350965,352,19161.818253844
"23751756",NA,7124666,7124666,1.7362664825833,407,22155.0557616526
"23751758",13991083.5641096,13394743,13991083.5641096,1.73580649333146,1157,62970.8977153638
"23751760",8698062.33863014,8738974,8698062.33863014,1.73574949634473,343,18665.6647340703
"23751762",6892675.84109589,8234800,6892675.84109589,1.73573913172931,572,31126.8370466462
"23751764",13610408.6712329,12977238,13610408.6712329,1.73572164037514,794,43205.7981804929
"23751766",577720.345232877,805377.5,577720.345232877,1.73492989058791,22,1194.95759357334
"23751768",NA,808076.4375,808076.4375,1.73492989058791,313,17000.9875812934
"23751770",NA,3316338.25,3316338.25,1.73492664006306,101,5485.90176927556
"23751772",NA,3789182,3789182,1.73492598995254,245,13307.3550018985
"23751774",NA,991117.875,991117.875,1.73492013887468,59,3204.58862690969
"23751776",103797747.780822,97416464,103797747.780822,1.73492013887468,6539,355166.043420059
"23751778",10282323.369863,10212516,10282323.369863,1.73351872692247,345,18678.3106034537
"23751780",45220895.8520548,42716532,45220895.8520548,1.72981598564821,2952,158464.672882655
"23751782",16369919.9753425,16441528,16369919.9753425,1.72751417669008,1594,85114.2780742081
"23751784",NA,316278.25,316278.25,0.629083506594185,76,323.539593619662
"23751786",559888.109589041,509711.34375,559888.109589041,0.629083506594185,12261,52191.8677855795
"23751788",1087271.13912329,1335368.25,1087271.13912329,1.67859927900221,75,3578.16332306015
"23751790",1883190.07068493,2877731,1883190.07068493,1.67856933397992,208,9923.37974942493
"23751794",NA,5946565,5946565,1.67851109631665,45,2146.46240159343
"23751796",8052659.2109589,7791479.5,8052659.2109589,1.67850860008522,468,22323.1165942846
"23751798",9448591.20904109,9102023,9448591.20904109,1.67846865667503,641,30572.2013467476
"23751800",22111037.539726,21854060,22111037.539726,1.67843952687134,1495,71298.4948290381
"23751802",NA,1911338.625,1911338.625,0.997569802742856,37,367.939378991293
"23751804",2369248.52054795,2356811.5,2369248.52054795,0.997569802742856,6497,64607.5089918479
"23751806",702532.358630137,868461.125,702532.358630137,0.965086035127336,361,3331.16728548099
"23751808",1737879.45205479,1799443.125,1737879.45205479,0.924027390749527,3537,29693.2021074113
"23751810",801817.350410959,1045077.6875,801817.350410959,0.879522545040613,547,4144.96471751665
"23751812",126019.808219178,103093.5390625,126019.808219178,0.293377651807195,6528,12830.3847991228
"23751814",894976.478630137,866562.625,894976.478630137,0.853349201139253,996,7105.53117699872
"23751816",409586.042021918,472718.8125,409586.042021918,0.806193244997369,698,4467.21990188885
"23751818",392640.495287671,381166.84375,392640.495287671,0.783363139521344,724,4396.54283823477
"23751820",278287.744849315,288896.34375,278287.744849315,0.694028223262175,2060,10183.6355808465
"23751822",269397.98769863,307322.3125,269397.98769863,0.650737866085924,4275,19126.519296893
"23751824",78057.0615616438,97618.3359375,78057.0615616438,0.348762617973135,725,1618.64244036441
"23751826",49083.2725479452,55118.37109375,49083.2725479452,0.209591266079489,1555,2520.19791864526
"23751828",19082.181969863,22085.439453125,19082.181969863,-0.0117328254616349,1963,1911.80824067204
"23751830",30777463.9232877,30324922,30777463.9232877,1.66631356711219,2704,125406.577569595
"23751832",NA,21295724,21295724,1.66603693244708,398,18446.7485879119
"23751834",NA,8408790,8408790,1.66599474918656,110,5097.85458456597
"23751836",12658315.0931507,13386063,12658315.0931507,1.66576436159347,607,28130.6220486447
"23751838",10232693.0112329,9392690,10232693.0112329,1.66562971481293,505,23384.1456111549
"23751840",9837600.59753425,10370708,9837600.59753425,1.66562179194383,772,35746.9791968974
"23751842",NA,7330773,7330773,1.66558657586975,36,1666.82133313604
"23751844",38302330.2246575,37186800,38302330.2246575,1.66558657586975,2875,133114.130823042
"23751846",NA,31016162,31016162,1.66429569143566,1709,78892.8858761252
"23751848",3233979.3090411,3431328.75,3233979.3090411,1.66389600180878,250,11530.1805533832
"23751850",NA,5949217,5949217,1.66387648686698,54,2490.40866800784
"23751852",36253877.4410959,35622320,36253877.4410959,1.66387648686698,2872,132452.846194787
"23751854",NA,21042864,21042864,1.66222321428122,2818,129468.645708097
"23751856",NA,21172008,21172008,1.66068566987342,2555,116970.551718483
"23751858",NA,8703434,8703434,1.65909605017256,1694,77269.8021765343
"23751860",NA,9735966,9735966,1.65579781125945,1147,51923.2219452694
"23751862",NA,17045942,17045942,1.65521534962805,2227,100678.156210007
"23751864",NA,13568530,13568530,1.65401168852935,1120,50492.8298459688
"23751866",NA,6137117.5,6137117.5,1.65365760699369,919,41397.4085553874
"23751868",NA,9195539,9195539,1.65242610955923,836,37551.9084912102
"23751870",NA,4848787.5,4848787.5,1.65161045815902,1000,44834.3028112759
"23751872",252125.32720274,1987891.5,252125.32720274,1.65011833117622,695,31052.9579784171
"23751874",NA,3943535.75,3943535.75,1.64957503277822,361,16109.4973284303
"23751876",NA,5022098,5022098,1.6492310313833,447,19931.4131287705
"23751878",NA,7028037,7028037,1.64920738590597,512,22828.5223297135
"23751880",30687519.040274,30792674,30687519.040274,1.64882398804394,2923,130212.520803227
"23751882",2611254.70109589,2856507,2611254.70109589,1.64791451885574,172,7646.14631441919
"23751884",NA,5430341.5,5430341.5,1.64740599557429,203,9013.67451151155
"23751886",NA,6570283.5,6570283.5,1.64590335394001,705,31195.5228803842
"23751888",NA,6361950,6361950,1.64551725369996,66,2917.840026763
"23751890",NA,3743668.5,3743668.5,1.64551629243806,75,3315.71739552498
"23751892",2336806.33232877,2771718.25,2336806.33232877,1.64551533117212,175,7736.66313457867
"23751894",45476141.2767123,42839192,45476141.2767123,1.64422552291816,3542,156125.623620428
"23751896",12297556.2493151,11161911,12297556.2493151,1.6410648774172,732,32031.402776081
"23751898",2773772.80479452,3105316,2773772.80479452,1.64095801446838,209,9143.32822792551
"23751900",2766743.99819178,3466718.25,2766743.99819178,1.64092467084786,226,9886.2904389598
"23751902",30506185.1342466,30083074,30506185.1342466,1.56675250003762,2429,89573.6194569043
"23751904",NA,7072741,7072741,1.56590164545306,86,3165.18998934532
"23751906",8877859.43178082,8851615,8877859.43178082,1.56589619848754,923,33970.1829563246
"23751908",NA,7094929,7094929,1.56574090538772,132,4856.40096574528
"23751910",NA,5246225,5246225,1.56572591538376,224,8240.89065610796
"23751912",NA,270207.59375,270207.59375,0.488595517556525,29,89.3217307445624
"23751914",176989.910547945,190827.546875,176989.910547945,0.488595517556525,3409,10499.9234520074
"23751916",107442.082438356,89482.9140625,107442.082438356,0.356996583040828,3935,8950.77068817098
"23751918",4700428.24208219,4975527,4700428.24208219,1.56365056072572,488,17867.7927044295
"23751920",NA,3862763.75,3862763.75,1.56356803381942,79,2891.97636897967
"23751922",7805602.51972603,8108904,7805602.51972603,1.56355840373944,812,29724.4631933488
"23751924",5350234.4360548,5434921,5350234.4360548,1.56324589392021,500,18292.1333349065
"23751926",9211674.65613699,8689824,9211674.65613699,1.56248002412367,968,35347.184643347
"23751928",15623075.4,14858118,15623075.4,1.56194030624486,1360,49599.7172520433
"23751930",10814146.4257808,10622157,10814146.4257808,1.51030431039593,1566,50710.2768178184
"23751932",NA,4024706,4024706,1.50945525546631,188,6075.93406654241
"23751934",NA,3770391.25,3770391.25,1.50943608054439,189,6107.99249632581
"23751936",4052380.42964384,4289439,4052380.42964384,1.50942213413636,642,20747.0794680073
"23751938",NA,3325206.25,3325206.25,1.45144509805428,133,3760.94386553953
"23751940",5053977.50712329,4934738,5053977.50712329,1.45142937127923,755,21348.9933208045
"23751942",NA,6059643,6059643,1.45035966173823,1148,32381.828564365
"23751944",2600245.36947945,2913544.5,2600245.36947945,1.44947988242388,435,12245.2592361664
"23751946",2271319.85563562,2091491.75,2271319.85563562,1.44935295113884,368,10356.1962330713
"23751948",NA,3774555,3774555,1.4110030885932,405,10434.1562086272
"23751950",14811.9388238679,280167.65625,14811.9388238679,1.41093604465269,1883,48504.9449459803
"23751952",NA,-72297.265625,0,0.716242842224004,573,2981.08213158123
"23751954",14815.9185356712,-14668.97265625,14815.9185356712,0.714500100672292,2552,13224.5116055267
"23751956",210078.173967123,235017.828125,210078.173967123,0.626527369570006,1239,5243.27724074557
"23751958",186056.963917808,171363.671875,186056.963917808,0.571373454508648,1949,7264.5112607969
"23751960",145695.272054795,151836.796875,145695.272054795,0.511236885765197,1739,5642.84368975259
"23751962",66838.5401917808,80777.609375,66838.5401917808,0.349320872226484,1717,3838.71557853608
"23751964",37724.4152465753,34594.703125,37724.4152465753,0.127687565725704,2377,3187.6751165618
"23751966",NA,3710269,3710269,1.39825839877222,1486,37177.3424827114
"23751968",NA,3801359.75,3801359.75,1.39671944477572,1022,25478.2267773135
"23751970",NA,883834.3125,883834.3125,0.737307338303061,621,3391.46783023418
"23751972",NA,88336.8125,88336.8125,0.734015007340316,2274,12325.4820411332
"23751974",191485.587789041,235166.484375,191485.587789041,0.71171805861316,1460,7517.92105207058
"23751976",163809.301561644,189147.390625,163809.301561644,0.673912257475351,1778,8392.17130463819
"23751978",168352.413780822,168476.796875,168352.413780822,0.550154134235615,2232,7921.40095288289
"23751980",96109.9901506849,98874.5859375,96109.9901506849,0.438264705038056,1009,2768.09143103084
"23751982",81801.7715342466,104204.671875,81801.7715342466,0.32180191116448,828,1737.59502555827
