"","comid","urbn","frst","wtnd","agrc","shrb","urbn_t","frst_t","wtnd_t","agrc_t","shrb_t"
"1",137182882,9.32,0.94,3.54,77.04,0.69,4.2,59.17,1.38,15,13.54
"2",23735691,0,1.53,10.2,24.23,0,7.95,51.86,1.54,20.32,12.29
"3",23751752,4.51,11.29,14.64,28.1,11.29,0.97,78.46,0.35,1.97,12.34
"4",23751754,4.85,11.19,2.99,19.03,23.51,0.97,78.5,0.34,1.97,12.34
"5",23751756,5.14,6.55,16.35,1.4,16.36,0.97,78.49,0.34,1.97,12.34
"6",23751758,9.27,0.51,22.93,15.8,10.6,0.88,78.64,0.32,1.91,12.35
"7",23751760,0.56,15.17,51.12,0,3.93,0.88,78.66,0.32,1.91,12.36
"8",23751762,0,28.1,21.74,0,11.71,0.88,78.66,0.31,1.91,12.36
"9",23751764,0,60.98,16.63,0,4.07,0.88,78.67,0.31,1.91,12.36
"10",23751766,0,60.98,16.63,0,4.07,0.86,78.83,0.27,1.77,12.39
"11",23751768,0,0,98.15,0,0,0.86,78.83,0.27,1.77,12.39
"12",23751770,0,0,82.35,0,0,0.86,78.83,0.27,1.77,12.39
"13",23751772,0,1.09,51.09,23.91,0,0.86,78.83,0.27,1.77,12.39
"14",23751774,0,0,0,0,0,0.86,78.83,0.27,1.77,12.39
"15",23751776,9.83,15.74,15.92,33.21,10.33,0.86,78.83,0.27,1.77,12.39
"16",23751778,17.56,2.3,4.83,74.01,0.82,0.83,79.15,0.22,1.6,12.38
"17",23751780,17.36,3.96,11.11,60.11,2.23,0.81,79.61,0.21,1.45,12.18
"18",23751782,12.88,16.59,13.73,31.88,10.53,0.72,80.15,0.18,1.04,12.21
"19",23751784,0,0,80,20,0,6.8,30.63,0.89,37.5,11.1
"20",23751786,6.8,30.63,0.88,37.5,11.1,6.8,30.63,0.88,37.5,11.1
"21",23751788,14.29,31.43,0,17.14,25.71,0.86,80.21,0.14,0.83,12.59
"22",23751790,16.95,20.34,1.69,35.59,0,0.86,80.22,0.14,0.83,12.59
"23",23751794,0,12.5,33.33,45.83,0,0.86,80.23,0.14,0.81,12.59
"24",23751796,0,7.44,0,81.04,0,0.86,80.23,0.14,0.81,12.59
"25",23751798,0,21.32,2.03,60.66,0,0.86,80.24,0.14,0.8,12.6
"26",23751800,5.76,13.27,2.77,63.83,2.77,0.86,80.25,0.14,0.78,12.6
"27",23751802,0,33.33,0,33.33,0,1.08,73.78,0,7.42,11.73
"28",23751804,9.82,25.11,0,52.61,3.25,1.08,73.78,0,7.42,11.73
"29",23751806,31.07,5.83,0,63.11,0,0.21,79.01,0,2.25,12.65
"30",23751808,3.23,49.34,0.07,18.99,10.01,0.2,80.6,0,1.76,11.53
"31",23751810,0,55.09,0,0.69,21.31,0,82.9,0,0.59,11.42
