"","comid","rsp_loc","FromNode","ToNode","Hydrosq","rch_lgt","rch_slp","rvr_lgt","rvr_slp","cat_are","wsd_are","rch_are","rch_lgtm","crsp_mss","csar_rch","clgt_rch","crsp_sta","crsp_wsa","rch_wdt","d50m","order","bkf_wdt","doc_annual","do_annual","nitrates","res_time","hz_exchng","aer_resp","anb_resp"
"1",23099412,3.30765795707703,50019140,50019139,50004374,1.315,0,11437.56,0.033914,0.67,15230.09,154507.8479,1315,2016413195,68513675.76,11437559,29.43081323,0.13239667,117.496456176015,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"2",23099414,1.65351593494415,50019141,50019140,50004383,0.316,0,11436.24,0.033918,0.19,15229.42,37128.01817,316,2015902135,68359167.91,11436244,29.48985772,0.132368937,117.493735330535,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"3",23099416,136.833419799805,50019142,50019141,50004392,0.021,0,11435.93,0.033919,0,15229.23,2467.352254,21,2015840744,68322039.89,11435928,29.50498473,0.132366557,117.492963754918,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"4",23099418,2.21397376060486,50019143,50019142,50004402,0.171,0,11435.91,0.033919,0.15,15229.23,20091.29568,171,2015503127,68319572.54,11435907,29.50110858,0.132344388,117.492963754918,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"5",23099420,0.127100901019156,50019144,50019143,50004412,3.264,0,11435.74,0.033919,5.88,15229.08,383495.0319,3264,2015458646,68299481.24,11435736,29.50913549,0.132342771,117.492354505942,0.0002178005,7,2.10680483900017,2.32539202723663,10.8632964347727,0.424408403427716,316548326.190513,1.6201e-06,0.125761852093601,0.00133904892555523
"6",23099422,7.00266933441162,50019145,50019144,50004425,0.427,0,11432.47,0.033929,0.36,15223.2,50159.03681,427,2015409903,67915986.21,11432472,29.67504436,0.132390687,117.468473190908,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"7",23099424,6.17546033859253,50019146,50019145,50004438,0.686,0,11432.05,0.03393,4.99,15222.84,80582.36248,686,2015058656,67865827.17,11432045,29.69180131,0.132370744,117.467010978883,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"8",23099426,2.7571042167819,50019147,50019146,50004449,0.267,0,11431.36,0.033932,7.01,15217.85,31358.27744,267,2014561023,67785244.81,11431359,29.71975728,0.132381448,117.446740417827,0.0037146006,7,2.10665667310873,2.24263145533563,10.8631956682349,0.424341161378862,2776816.83222033,3.90511000000004e-05,2.73000769258709,0.027096524194811
"9",23099428,4.0191276322935,50019148,50019147,50004460,0.446,0,11431.09,0.033933,0.48,15210.84,52368.54777,446,2014474565,67753886.53,11431092,29.7322363,0.132436773,117.418259092168,0.0041840663,7,2.1065641965895,2.3190886669112,10.8631327299594,0.42429019047428,2623059.23887513,5.07600000000003e-05,3.97627836050087,0.0428492717926278
"10",23099430,0.583049007327998,50019149,50019148,50004472,0.217,0,11430.65,0.033934,0.54,15210.37,25479.34447,217,2014264089,67701517.99,11430646,29.75212593,0.132427028,117.416349515936,0.0014509961,7,2.10655791034733,2.35605652002831,10.8631285090946,0.424287857530694,28777059.1209634,6.93969999999994e-06,0.576692628617393,0.0063563787106047
"11",23099432,1.39666328662348,50019150,50019149,50004484,2.19,0,11430.43,0.033935,12.01,15209.82,257136.9499,2190,2014249233,67676038.64,11430429,29.7631078,0.13243084,117.414114461697,0.002312849,7,2.10655075638813,2.27810570543365,11.4774839244086,0.424284905695504,11308389.6398449,1.76847e-05,1.38524680010872,0.0114164865147594
"12",23099434,1.23472070378606,50019151,50019150,50004497,0.385,0,11425.76,0.033948,0.36,15193.91,45179.53551,385,2013889333,67415236.85,11425764,29.87291044,0.132545825,117.349447713079,0.0022234613,7,2.10634049209308,2.21594554951067,10.8629806066952,0.424037247097292,8286734.65523405,1.63674999999998e-05,1.22297176832015,0.0117489354659082
"13",23099436,0.538132600043769,50019152,50019151,50004510,3.238,0,11425.38,0.033949,5.78,15193.55,379972.7451,3238,2013833549,67370057.32,11425379,29.89211571,0.132545294,117.34798428061,0.0014567349,7,2.10633572161485,2.26985145153847,10.8629773701016,0.42403626736577,36289767.7332618,7.15769999999998e-06,0.532776785048267,0.0053558149955021
"14",23099438,0.122840297939044,50019153,50019152,50004523,2.694,0,11420.3,0.033963,7.67,15178.66,315972.3668,2694,2013622094,66985745.79,11420304,30.06045645,0.132661387,117.287433474016,0.0006978224,7,2.10613885546525,2.27769073107841,10.8628434337674,0.42249364137247,196230481.033904,1.57390000000001e-06,0.121613894682122,0.00122640325692256
"15",23099440,0.0506062206146024,50019154,50019153,50004535,0.406,0,11417.61,0.033971,0.31,15170.99,47606.03526,406,2013583280,66669773.43,11417610,30.20234172,0.132725899,117.256232235622,0.000451094,7,2.10603735951458,2.28298632778887,10.8676353101501,0.42231709509943,319889983.392298,6.25699999999998e-07,0.0500973432720907,0.000508877342511708
"16",23099442,21.0726261138916,50019155,50019154,50004547,0.094,0,11417.2,0.033972,0.04,15170.68,11021.96686,94,2013580871,66622167.39,11417204,30.22388718,0.132728452,117.254971107659,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"17",23099444,2.84512157648366,50019156,50019155,50004559,0.424,0,11417.11,0.033973,0.16,15170.64,49716.03597,424,2013348609,66611145.42,11417110,30.22540141,0.132713492,117.254808304074,0.00342135,7,2.1060326652324,2.29743326351237,10.8676321587089,0.422305311210354,4690119.34925531,3.39025e-05,2.81558060942499,0.0295409670586704
"18",23099446,0.246934629232238,50019157,50019156,50004572,1.149,0,11416.69,0.033974,11.93,15170.48,134725.0184,1149,2013207161,66561429.39,11416686,30.24585228,0.132705568,117.254157361983,0.0010132763,7,2.10603054442934,2.25221064989783,10.8676307180258,0.422304503707334,58498190.110544,3.2321e-06,0.244528765768139,0.00240586346409931
"19",23099448,0.135593686644477,50019158,50019157,50004584,0.192,0,11415.54,0.033977,0.06,15158.55,22503.4784,192,2013173892,66426704.37,11415537,30.30669535,0.132807814,117.205610941174,0.0006512405,7,2.10587258890008,2.80385389843073,10.86752325427,0.42209043873167,162557535.756477,1.36310000000001e-06,0.133114135305357,0.00247955133912075
"20",23099450,0.0859781625059803,50019159,50019158,50004596,1.327,0,11415.35,0.033978,1.82,15158.49,155531.5131,1327,2013170841,66404200.89,11415345,30.31691992,0.132808139,117.205366703746,0.0005918653,7,2.10587175421405,2.25048866117874,10.8675227135848,0.422089036454026,296260966.421014,1.12199999999999e-06,0.0851450581688697,0.000833104337110585
"21",23099452,0.173470946912632,50019160,50019159,50004610,0.833,0,11414.02,0.033982,1.36,15156.66,97625.87992,833,2013157469,66248669.38,11414018,30.38789288,0.132823291,117.19791838131,0.0008251647,7,2.10584758258669,2.26900820740621,10.8675062216565,0.422053949824092,92922142.1822964,2.20069999999999e-06,0.17175101086128,0.00171993605135182
"22",23099454,0.129455481776006,50019161,50019160,50004624,0.78,0,11413.19,0.033984,1.37,15155.31,91410.08327,780,2013140533,66151043.5,11413185,30.4324834,0.132834006,117.19242338802,0.0007290116,7,2.10582960998451,2.251946234771,10.8674940542035,0.422012596854296,150568930.575782,1.70890000000001e-06,0.12819550343353,0.00125997834247605
"23",23099456,0.652233920904851,50019162,50019161,50004638,1.946,0,11412.41,0.033987,4.25,15153.94,228045.6165,1946,2013128700,66059633.42,11412405,30.47441525,0.132845234,117.186846893037,0.0015487002,7,2.1058115045693,2.28553280709357,10.8674817053839,0.421986969486052,29854004.6414838,8.01220000000005e-06,0.645647319812386,0.00658660109246494
"24",23099458,0.737162518719672,50019163,50019162,50004654,0.294,0,11410.46,0.033992,19.94,15149.69,34447.85069,294,2012979961,65831587.8,11410459,30.57772155,0.132872683,117.169545419153,0.0017303959,7,2.10575519798657,2.28128149872551,10.8674433898971,0.421867464527784,10371934.1839542,8.88139999999999e-06,0.729724450131343,0.00743806858832898
"25",23099460,2.89222034462254,50019164,50019163,50004668,4.178,0,11410.17,0.033993,35.42,15129.76,489195.1906,4178,2012954567,65797139.95,11410165,30.59334446,0.133046034,117.088382083191,0.0036621692,7,2.10549071573496,2.2019781571669,10.8672635692945,0.420773279141072,3813039.36396256,3.85931999999999e-05,2.8650145573831,0.0272057872394393
"26",23099462,24.4622208015892,50019165,50019164,50004682,0.836,0,11405.99,0.034006,1.05,15094.33,97765.17233,836,2011539707,65307944.76,11405987,30.80084229,0.133264591,116.943971042358,0.0162952423,7,2.10501996404197,2.20825864068963,10.8669433126221,0.420677752365426,146818.48190796,0.000382488999999997,24.2295797626604,0.232641038928763
"27",23099464,4.42203903198242,50019166,50019165,50004695,1.456,0,11405.15,0.034008,2.69,15093.28,170264.191,1456,2009148154,65210179.59,11405151,30.81034535,0.13311541,116.939688865174,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"28",23099466,3.37583804130554,50019167,50019166,50017303,0.061,0.02,820.61,0.026663,0.01,871.02,1589.365117,61,269648.643,2367162.163,820610,0.113912197,0.000309578,26.0552241078409,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
