"COMID","FromNode","ToNode","TotDASqKM","cum_totco2g_day","cum_stream_area_m2","cum_stream_length_m","cum_totco2g_day_Tdrain_m2","cum_totco2g_day_Tsurface_m2"
"137182882",50140133,50078731,18162.0981,10367364334.6997,74132267.1618636,11856041,0.57082415685772,139.849551775655
"23735691",50073275,50073274,29086.74,14367159812.5741,136329915.269834,19967587,0.493941906606725,105.385232464478
"23751752",50074714,50076034,3539.0601,1683380671.36029,12046005.1087056,2240464,0.475657554207766,139.745970234042
"23751754",50074715,50074714,3537.3627,1669962484.89125,11988287.3078156,2239404,0.472092523871315,139.299504759328
"23751756",50074716,50074715,3537.1215,1666201693.51308,11969125.4895617,2239052,0.471061481352303,139.20830681959
"23751758",50074717,50074716,3530.0106,1641013669.26308,11836162.7521234,2236607,0.464874997617027,138.644060886091
"23751760",50074718,50074717,3529.1277,1627022585.69897,11773191.854408,2235450,0.461026838359794,138.197237063609
"23751762",50074719,50074718,3528.9675,1618324523.36034,11754526.1896739,2235107,0.458583005754612,137.676712548567
"23751764",50074720,50074719,3528.6984,1611431847.51925,11723399.3526273,2234535,0.456664657857767,137.454316708755
"23751766",50074721,50074720,3516.4989,1597197406.5283,11649106.9548646,2227940,0.454201025493937,137.109000090459
"23751768",50074722,50074721,3516.4989,1596619686.18306,11647911.997271,2227918,0.45403673698947,137.073467464137
"23751768",50074722,50074721,3516.4989,1596619686.18306,11647911.997271,2227918,0.45403673698947,137.073467464137
"23751768",50074722,50074721,3516.4989,1596619686.18306,11647911.997271,2227918,0.45403673698947,137.073467464137
"23751768",50074722,50074721,3516.4989,1596619686.18306,11647911.997271,2227918,0.45403673698947,137.073467464137
"23751768",50074722,50074721,3516.4989,1596619686.18306,11647911.997271,2227918,0.45403673698947,137.073467464137
"23751768",50074722,50074721,3516.4989,1596619686.18306,11647911.997271,2227918,0.45403673698947,137.073467464137
"23751768",50074722,50074721,3516.4989,1596619686.18306,11647911.997271,2227918,0.45403673698947,137.073467464137
"23751768",50074722,50074721,3516.4989,1596619686.18306,11647911.997271,2227918,0.45403673698947,137.073467464137
"23751770",50074723,50074722,3516.4503,1560487489.74556,11430686.1065353,2223922,0.443767821699502,136.517394949143
"23751770",50074723,50074722,3516.4503,1560487489.74556,11430686.1065353,2223922,0.443767821699502,136.517394949143
"23751770",50074723,50074722,3516.4503,1560487489.74556,11430686.1065353,2223922,0.443767821699502,136.517394949143
"23751770",50074723,50074722,3516.4503,1560487489.74556,11430686.1065353,2223922,0.443767821699502,136.517394949143
"23751770",50074723,50074722,3516.4503,1560487489.74556,11430686.1065353,2223922,0.443767821699502,136.517394949143
"23751770",50074723,50074722,3516.4503,1560487489.74556,11430686.1065353,2223922,0.443767821699502,136.517394949143
"23751770",50074723,50074722,3516.4503,1560487489.74556,11430686.1065353,2223922,0.443767821699502,136.517394949143
"23751770",50074723,50074722,3516.4503,1560487489.74556,11430686.1065353,2223922,0.443767821699502,136.517394949143
"23751772",50074724,50074723,3516.435,1556111283.37056,11412490.3131426,2223587,0.442525251674085,136.351597300244
"23751774",50074725,50074724,3516.3522,1552322101.37056,11399182.9581407,2223342,0.441458083001629,136.178365332927
"23751774",50074725,50074724,3516.3522,1552322101.37056,11399182.9581407,2223342,0.441458083001629,136.178365332927
"23751774",50074725,50074724,3516.3522,1552322101.37056,11399182.9581407,2223342,0.441458083001629,136.178365332927
"23751774",50074725,50074724,3516.3522,1552322101.37056,11399182.9581407,2223342,0.441458083001629,136.178365332927
"23751774",50074725,50074724,3516.3522,1552322101.37056,11399182.9581407,2223342,0.441458083001629,136.178365332927
"23751774",50074725,50074724,3516.3522,1552322101.37056,11399182.9581407,2223342,0.441458083001629,136.178365332927
"23751774",50074725,50074724,3516.3522,1552322101.37056,11399182.9581407,2223342,0.441458083001629,136.178365332927
"23751774",50074725,50074724,3516.3522,1552322101.37056,11399182.9581407,2223342,0.441458083001629,136.178365332927
"23751776",50074726,50074725,3516.3495,1550710956.05806,11392882.4119831,2223226,0.441000235061407,136.112258512123
"23751778",50074727,50074726,3494.8566,1446667164.60033,11026511.3734928,2210342,0.413941780787323,131.198990832046
"23751780",50074728,50074727,3438.7119,1434923495.22169,10921312.0777155,2179578,0.417285174492719,131.387463796552
"23751782",50074729,50074728,3404.259,1388826433.01005,10710331.9974536,2164289,0.407967323582034,129.671651013269
"23751784",50074730,50074728,27.8838,876166.359589041,52515.4073791992,12337,0.0314220572371427,16.6839867253145
"23751786",50191441,50074730,27.8793,559888.109589041,52191.8677855795,12261,0.0200825741531904,10.7274970861215
"23751788",50074731,50074729,2748.5055,1260183506.74424,8940551.02796404,1785177,0.458497720577325,140.951436080692
"23751790",50074732,50074731,2748.1473,1253162873.10512,8933204.41124804,1785023,0.456002803454211,140.281450576372
"23751794",50074733,50139828,2747.4462,1234076500.53444,8908683.55744606,1784509,0.449172216924371,138.525124680512
"23751794",50074733,50139828,2747.4462,1234076500.53444,8908683.55744606,1784509,0.449172216924371,138.525124680512
"23751794",50074733,50139828,2747.4462,1234076500.53444,8908683.55744606,1784509,0.449172216924371,138.525124680512
"23751794",50074733,50139828,2747.4462,1234076500.53444,8908683.55744606,1784509,0.449172216924371,138.525124680512
"23751794",50074733,50139828,2747.4462,1234076500.53444,8908683.55744606,1784509,0.449172216924371,138.525124680512
"23751794",50074733,50139828,2747.4462,1234076500.53444,8908683.55744606,1784509,0.449172216924371,138.525124680512
"23751794",50074733,50139828,2747.4462,1234076500.53444,8908683.55744606,1784509,0.449172216924371,138.525124680512
"23751794",50074733,50139828,2747.4462,1234076500.53444,8908683.55744606,1784509,0.449172216924371,138.525124680512
"23751796",50074734,50074733,2747.4246,1213600272.53444,8872239.39897451,1783745,0.441722867493594,136.786240537503
"23751796",50074734,50074733,2747.4246,1213600272.53444,8872239.39897451,1783745,0.441722867493594,136.786240537503
"23751796",50074734,50074733,2747.4246,1213600272.53444,8872239.39897451,1783745,0.441722867493594,136.786240537503
"23751796",50074734,50074733,2747.4246,1213600272.53444,8872239.39897451,1783745,0.441722867493594,136.786240537503
"23751796",50074734,50074733,2747.4246,1213600272.53444,8872239.39897451,1783745,0.441722867493594,136.786240537503
"23751796",50074734,50074733,2747.4246,1213600272.53444,8872239.39897451,1783745,0.441722867493594,136.786240537503
"23751796",50074734,50074733,2747.4246,1213600272.53444,8872239.39897451,1783745,0.441722867493594,136.786240537503
"23751796",50074734,50074733,2747.4246,1213600272.53444,8872239.39897451,1783745,0.441722867493594,136.786240537503
"23751798",50074735,50074734,2746.9404,1189544432.32348,8797160.4616742,1782171,0.433043407976191,135.219135481939
"23751800",50074736,50074735,2746.5858,1180095841.11444,8766588.26032745,1781530,0.429659194012596,134.612896838657
"23751802",50074737,50074736,139.743,11481151.0694959,290465.575655767,87234,0.0821590424529021,39.5267185916114
"23751804",50074738,50074737,139.7403,9569812.44449589,290097.636276775,87197,0.0684828388410207,32.9882468789424
"23751806",50074739,50074738,121.2318,7119458.0773726,217264.346915398,75911,0.0587259949730401,32.7686441813893
"23751808",50074740,50074739,101.2977,6025106.15487945,185517.897803225,64591,0.0594791999707738,32.4772230939688
"23751810",50074741,50074740,83.3841,4038426.90341918,135766.605290744,50393,0.0484316182991623,29.7453626005518
"23751812",50191442,50074741,6.4224,126019.808219178,12830.3847991228,6528,0.0196219183201261,9.82198197421124
"23751814",50074742,50074741,74.3562,3110589.74478904,118791.255774105,43318,0.0418336298087993,26.1853427217251
"23751816",50074743,50074742,60.4971,1923289.08152877,93219.9627789849,33256,0.0317914260605677,20.6317297732535
"23751818",50074744,50074743,54.7524,1469808.73791781,83055.3585042545,29339,0.0268446449455697,17.6967358203928
"23751820",50074745,50074744,37.0413,914449.904630137,53526.2391258362,21004,0.0246873059161028,17.0841426478766
"23751822",50074746,50074745,30.645,609614.976328767,39356.1419790384,16049,0.0198928039265383,15.4897036567623
"23751824",50074747,50074746,8.1819,202689.908630137,10330.121825159,8044,0.0247729633251613,19.6212505583899
"23751826",50074748,50074747,4.4523,85476.9740547945,5984.83204015695,5239,0.0191983860150472,14.2822678199258
"23751828",50191443,50074748,1.692,19082.181969863,1911.80824067204,1963,0.0112778853249781,9.98122173757093
"23751830",50074749,50074736,2604.7008,1146503652.50521,8404824.18984265,1692801,0.440167121116256,136.410188554661
"23751832",50074750,50074749,2601.5481,1115726188.58193,8279417.61227305,1690097,0.428870097993549,134.759018186017
"23751834",50074751,50074750,2601.0702,1094430464.58193,8260970.86368514,1689699,0.420761602121284,132.482063263653
"23751836",50074752,50074751,2598.4512,1086021674.58193,8255873.00910057,1689589,0.417949613439702,131.545346371582
"23751838",50074753,50074752,2596.9248,1073119668.95753,8227113.5571459,1687904,0.413227086497664,130.436958418477
"23751838",50074753,50074752,2596.9248,1073119668.95753,8227113.5571459,1687904,0.413227086497664,130.436958418477
"23751838",50074753,50074752,2596.9248,1073119668.95753,8227113.5571459,1687904,0.413227086497664,130.436958418477
"23751838",50074753,50074752,2596.9248,1073119668.95753,8227113.5571459,1687904,0.413227086497664,130.436958418477
"23751838",50074753,50074752,2596.9248,1073119668.95753,8227113.5571459,1687904,0.413227086497664,130.436958418477
"23751838",50074753,50074752,2596.9248,1073119668.95753,8227113.5571459,1687904,0.413227086497664,130.436958418477
"23751838",50074753,50074752,2596.9248,1073119668.95753,8227113.5571459,1687904,0.413227086497664,130.436958418477
"23751838",50074753,50074752,2596.9248,1073119668.95753,8227113.5571459,1687904,0.413227086497664,130.436958418477
"23751840",50074754,50074753,2596.833,1036793703.94629,8126638.68701131,1685735,0.399253130234516,127.579648102651
"23751842",50074755,50074754,2596.4298,1026956103.34876,8090891.70781441,1684963,0.395526235043505,126.927431540938
"23751844",50074756,50074755,2596.4271,1019625330.34876,8089224.88648128,1684927,0.392703238365044,126.047346273282
"23751846",50074757,50074756,2581.8111,981051128.410675,7951277.79564183,1678893,0.379985634274589,123.382826461981
"23751848",50074758,50074757,2577.3012,950034966.410675,7872384.9097657,1677184,0.368616196822737,120.679435431588
"23751850",50074759,50074758,2577.0843,946800987.101634,7860854.72921232,1676934,0.367392322828413,120.445043155823
"23751852",50074760,50074759,2577.0843,940851770.101634,7858364.32054431,1676880,0.36508381588512,119.726158233965
"23751854",50074761,50074760,2558.5146,904530411.935721,7714434.04683902,1667574,0.353537326672172,117.251687738046
"23751856",50074762,50074761,2541.3597,883220961.837059,7573544.80671075,1659533,0.347538745434996,116.619229750177
"23751858",50074763,50074762,2523.7539,861731250.29996,7446999.90627093,1650442,0.341448209470805,115.715222391008
"23751860",50074764,50074763,2487.6045,850187089.464226,7310813.91558254,1615879,0.341769396808949,116.291715160757
"23751862",50074765,50074764,2481.2667,840117390.882521,7254312.92147094,1611600,0.3385840751752,115.809367472416
"23751864",50074766,50074765,2468.2401,822042012.444075,7145493.63904805,1605582,0.333047831304611,115.043418127455
"23751866",50074767,50074766,2464.4205,808271406.440502,7092615.04924354,1602072,0.327976255042718,113.959576380324
"23751868",50074768,50074767,2451.1761,800061753.501976,7030074.48979734,1587485,0.326399132849727,113.805586934121
"23751870",50074769,50074768,2442.4497,790749336.156004,6979924.37160844,1580999,0.323752557178968,113.289097998319
"23751872",50074770,50074769,2426.5584,785610299.223867,6914982.82426108,1570509,0.323754952373645,113.609869928754
"23751874",50074771,50074770,2420.7975,784421101.831493,6877722.65593048,1565964,0.324034167183126,114.052447455861
"23751876",50074772,50074771,2417.1552,780189003.656191,6857234.0094868,1561095,0.32277158026766,113.776050602447
"23751878",50074773,50074772,2416.9149,775166905.656191,6837302.59635803,1560648,0.320725775514972,113.373204524997
"23751880",50074774,50074773,2412.8595,768083394.714449,6810972.90884788,1557530,0.318329100685079,112.771465250825
"23751882",50074775,50074774,2403.2763,737121729.49303,6675769.9099975,1550959,0.306715349164401,110.417485837721
"23751884",50074776,50074775,2397.9384,734193631.589828,6661725.8673019,1547180,0.30617701922194,110.210724099818
"23751886",50074777,50074776,2382.228,728314411.541785,6630247.38312933,1535487,0.305728255877181,109.847245427822
"23751888",50074778,50074777,2378.2131,721478083.605872,6595113.67946919,1532045,0.303369821487348,109.395852546387
"23751890",50074779,50074778,2378.1996,715116133.605872,6592195.83944243,1531979,0.300696431706519,108.479200409549
"23751892",50074780,50074779,2378.1933,711372465.105872,6588880.1220469,1531904,0.299123063337985,107.96561053305
"23751894",50074781,50074780,2364.8112,708361097.750369,6563752.71408051,1521220,0.299542347291982,107.920137855102
"23751896",50074782,50074781,2332.3401,661893799.555049,6358866.5111259,1494359,0.283789572350554,104.089903192173
"23751898",50074783,50074782,2331.2502,649596243.305734,6326835.10834982,1493627,0.278647158209674,102.673174214455
"23751900",50074784,50074783,2330.9127,646822470.50094,6317691.7801219,1493418,0.277497510095912,102.382720305557
"23751902",50074785,50074784,1685.0709,471355180.184678,4506184.3045056,1109732,0.279724241979775,104.601842342175
"23751904",50074786,50074785,1678.8078,440848995.050432,4416610.6850487,1107303,0.262596465807719,99.8161319816603
"23751906",50074787,50074786,1678.77,433776254.050432,4413445.49505935,1107217,0.258389329122174,98.2851730096191
"23751908",50074788,50074787,1677.6279,424898394.618651,4379475.31210303,1106294,0.253273323970501,97.020388137458
"23751910",50074789,50074788,1677.5217,417803465.618651,4374618.91113728,1106162,0.249059946955471,95.5062541687851
"23751912",50074790,50074789,15.0777,577171.736215753,21265.3128403318,9175,0.0382798262477535,27.141464625956
"23751914",50074791,50074790,15.0777,306964.142465753,21175.9911095872,9146,0.0203588174897864,14.4958571656548
"23751916",50191444,50074791,8.4771,107442.082438356,8950.77068817098,3935,0.0126743912939987,12.0036683076182
"23751918",50074792,50074789,1662.3639,411980068.882435,4345112.70764084,1096763,0.247827848573008,94.8145874692668
"23751920",50074793,50074792,1661.7573,407279640.640353,4327244.91493641,1096275,0.24508972558168,94.1198496148301
"23751922",50074794,50074793,1661.6871,403416876.890353,4324352.93856744,1096196,0.24277547613528,93.2895354799592
"23751924",50074795,50074794,1659.4227,395611274.370627,4294560.43344907,1095347,0.238402954455563,92.1191541023214
"23751926",50074796,50074795,1653.8661,389698557.071463,4268534.70005607,1089088,0.235628843877665,91.295628231942
"23751928",50074797,50074796,1649.97,380325335.749854,4229974.65252757,1085519,0.23050439447375,89.9119656716135
