"COMID","StreamOrde","TotDASqKM","logQ_m3_div_s","logDA_km2","logw_m","length_m","logwbkf_m","logd_m","logdbkf_m","logSlope","logK_m_div_s","D50_m","pred_annual_DOC","pred_annual_DO","no3_conc_mg_l","logRT_total_hz_s","logq_hz_total_m_s","totco2g_m2_day","totco2_o2g_m2_day","totco2_ang_m2_day"
"137182882",7,18162.0981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23735691",7,29086.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23751752",5,3539.0601,2.0786198958071,3.54815098829537,1.73600391038773,1060,1.81337639069231,0.303234301977285,0.592254674776191,-2.81311991278162,-1.16422539780228,0.0862584515,2.79664674387668,11.6017022412462,0.17603784510479,5.85425032242452,-3.23459120568207,232.479170413973,229.75164069942,2.72752971455294
"23751754",5,3537.3627,2.07847621155224,3.54794228857531,1.73589405317175,352,1.81327987966213,0.30315265346001,0.592189614965733,-2.88378755086617,-1.16422539780228,0.0705458874,2.75785918065071,11.6016366092968,0.175905275479484,5.88332716528171,-3.27455074553479,196.264849626676,194.054293106786,2.21055651988951
"23751756",5,3537.1215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23751758",5,3530.0106,2.0783621539931,3.54777600949961,1.73580652571207,1157,1.81320298562084,0.303087600957583,0.592137779327576,-2.90497369279576,-1.16422539780228,0.0664079387,2.79359402690893,11.6298850504366,0.175828092744122,6.03356340097988,-3.28547049396695,222.183327087872,219.613725171389,2.56960191648302
"23751760",5,3529.1277,2.07828801591685,3.54766737340727,1.73574934087897,343,1.81315274798188,0.303045099810833,0.592103913238226,-2.32045037262429,-1.16422539780228,0.3493944706,2.84576390742235,11.6298509930865,0.175792854925672,5.37349138818767,-2.98904498198932,465.992637420173,460.298620404602,5.69401701557099
"23751762",5,3528.9675,2.0782745629149,3.54764765874658,1.73573896330043,572,1.81314363114065,0.303037386952019,0.59209776741912,-2.87090654446369,-1.16422539780228,0.0731416101,2.78803518390674,11.6298447999286,0.175791200833492,6.04795302338117,-3.26168544850041,221.438363003817,218.892748206285,2.54561479753173
"23751764",5,3528.6984,2.07825186644792,3.54761454053249,1.73572153024015,794,1.81312831596457,0.30302443028415,0.592087443183098,-2.56738341609621,-1.16422539780228,0.1732290984,2.8439132824646,11.629834348338,0.17577526732694,5.6402794832492,-3.0966254262383,315.013476070392,311.172390582507,3.84108548788459
"23751766",5,3516.4989,2.07719295518312,3.5461104858973,1.73492981257586,22,1.81243278143179,0.302436006749402,0.591618570979915,-1.34242273293755,-1.16422539780228,4,2.82803573369681,11.6342221746288,0.17465046842795,4.14887746279781,-2.9879582200477,483.465144152348,477.687244359075,5.77789979327243
