"COMID","totco2g_day","CAT_ELEV_MIN","CAT_ELEV_MAX","CAT_STREAM_SLOPE","TOT_BASIN_AREA","TOT_BASIN_SLOPE","TOT_ELEV_MEAN","TOT_ELEV_MIN","TOT_ELEV_MAX","TOT_STREAM_SLOPE","sinuosity","CAT_NID_STORAGE2010","CAT_EVI_JAS_2012","TOT_EVI_JAS_2012","CAT_CONTACT","TOT_CONTACT","CAT_PET","TOT_PET","CAT_AET","TOT_AET","CAT_OM","CAT_PERMAVE","TOT_OM","TOT_PERMAVE","CAT_SILTAVE","CAT_CLAYAVE","CAT_SANDAVE","TOT_SILTAVE","TOT_CLAYAVE","TOT_SANDAVE","urban","forest","wetland","agrc","shrub","turban","tforest","twetland","tagrc","tshrub","CAT_PPT7100_ANN","TOT_PPT7100_ANN","CAT_RUN7100","TOT_RUN7100","CAT_TWI","TOT_TWI","CAT_BFI","TOT_BFI"
"137182882",NA,47.81,116.1,0,18162.1,24.72,669.22,47.81,3185.44,0.030103,1.01,0,0.36,0.39,654.71,508.69,643.07,587.72,449.52,570.17,1.34,4.1,2.5,2.03,46.98,19.44,33.58,46.36,28.7,24.93,9.32,0.94,3.54,77.04,0.69,4.2,59.17,1.38,15,13.54,1127.65,1698.82,1236.82,1215.24,10.49,10.78,46,54.28
"23735691",NA,2.46,12.01,0,29086.74,21.2,552.59,-2.08,3185.44,0.025145,1,0,0.02,0.39,554,832.41,661,595.2,436.01,521.69,0.63,3.82,2.42,1.88,51.68,20.14,28.17,48.24,28.62,23.14,0,1.53,10.2,24.23,0,7.95,51.86,1.54,20.32,12.29,1021.12,1633.74,660,1196.95,17.12,11.33,46,53.68
"23751752",13418186.4690411,135.09,267.24,0,3539.06,31.08,996.17,135.09,2655.83,0.042772,1.03,0,0.36,0.39,14,89.13,657.24,567.36,536.06,601.03,1.54,2.91,2.76,2.08,46.07,27.91,26.03,45.92,25.84,28.25,4.51,11.29,14.64,28.1,11.29,0.97,78.46,0.35,1.97,12.34,1180.32,1581.78,1013.3,1083.72,10.7,9.94,38.18,64.94
"23751754",3760791.37816438,136.72,331.03,0,3537.36,31.1,996.58,136.72,2655.83,0.042793,1.01,0,0.35,0.39,14,89.17,657.01,567.32,553.74,601.06,1.25,4.23,2.76,2.08,47.72,20.07,32.21,45.92,25.84,28.25,4.85,11.19,2.99,19.03,23.51,0.97,78.5,0.34,1.97,12.34,1180.73,1581.97,1028.99,1083.75,10.53,9.94,37.78,64.96
"23751756",NA,137.18,324.48,0,3537.12,31.1,996.63,137.18,2655.83,0.042799,1,0,0.31,0.39,14,89.18,657.13,567.31,552.61,601.06,1.27,4.63,2.76,2.08,46.53,16.82,36.65,45.92,25.84,28.25,5.14,6.55,16.35,1.4,16.36,0.97,78.49,0.34,1.97,12.34,1177.17,1582,1083.12,1083.76,9.51,9.94,38,64.96
"23751758",13991083.5641096,137.61,146.59,0,3530.01,31.15,998.33,137.61,2655.83,0.042899,1.04,0,0.27,0.39,14,89.31,657.55,567.13,546.29,601.27,1.27,4.57,2.76,2.08,46.71,17.3,36,45.9,25.84,28.26,9.27,0.51,22.93,15.8,10.6,0.88,78.64,0.32,1.91,12.35,1173.59,1582.81,1084,1083.71,8.93,9.94,38.41,65.01
"23751760",8698062.33863014,139.05,144.93,0,3529.13,31.16,998.55,139.05,2655.83,0.042921,1.07,0,0.44,0.39,14,89.33,658,567.1,552.18,601.28,1.27,4.67,2.76,2.08,46.42,16.5,37.08,45.9,25.84,28.26,0.56,15.17,51.12,0,3.93,0.88,78.66,0.32,1.91,12.36,1176.27,1582.92,1084,1083.71,8.93,9.94,39,65.02
"23751762",6892675.84109589,140.69,220.07,0,3528.97,31.16,998.59,140.69,2655.83,0.042928,1.35,0,0.44,0.39,14,89.33,658,567.1,558.6,601.28,1.73,1.77,2.76,2.08,45.85,36.13,18.06,45.9,25.84,28.26,0,28.1,21.74,0,11.71,0.88,78.66,0.31,1.91,12.36,1181.91,1582.93,1084,1083.71,11.15,9.94,39,65.02
"23751764",13610408.6712329,141.46,410.29,0,3528.7,31.16,998.65,141.46,2655.83,0.042939,1.08,0,0.44,0.39,14,89.34,657.84,567.09,569.47,601.29,1.78,1.29,2.76,2.08,45.76,38.05,16.2,45.9,25.84,28.26,0,60.98,16.63,0,4.07,0.88,78.67,0.31,1.91,12.36,1195.61,1582.96,1043.7,1083.71,11.22,9.94,39,65.02
"23751766",577720.345232877,141.46,410.29,0.05,3516.5,31.23,1001.44,141.46,2655.83,0.043067,1,0,0.44,0.39,14,89.59,657.84,566.78,569.47,601.46,1.78,1.29,2.77,2.07,45.76,38.05,16.2,45.9,25.86,28.25,0,60.98,16.63,0,4.07,0.86,78.83,0.27,1.77,12.39,1195.61,1584.27,1043.7,1083.91,11.22,9.93,39,65.11
"23751768",NA,144.61,147.27,0,3516.5,31.23,1001.44,144.36,2655.83,0.043045,1,0,0.38,0.39,14,89.59,658,566.78,632.68,601.46,1.27,4.67,2.77,2.07,46.42,16.5,37.08,45.9,25.86,28.25,0,0,98.15,0,0,0.86,78.83,0.27,1.77,12.39,1183.99,1584.27,1084,1083.91,9.78,9.93,39,65.11
"23751770",NA,144.94,148.41,0,3516.45,31.23,1001.45,144.36,2655.83,0.043051,1.05,0,0.37,0.39,14,89.59,658,566.78,633.32,601.46,1.27,4.67,2.77,2.07,46.42,16.5,37.08,45.9,25.86,28.25,0,0,82.35,0,0,0.86,78.83,0.27,1.77,12.39,1183.99,1584.28,1084,1083.91,9.78,9.93,39,65.11
