"COMID","FromNode","ToNode","Hydrosq","AreSqKM","cum_totco2g_day","TOT_urban16","TOT_forest16","TOT_wetland16","TOT_agrc16","TOT_shrub16","CAT_STREAM_LENGTH","CAT_STREAM_SLOPE","TOT_STREAM_LENGTH","TOT_STREAM_SLOPE","CAT_BASIN_AREA","TOT_BASIN_AREA","totco2g_day_fill","tdrainage_m2","cum_totco2g_day_tdm2"
"23099412",50019140,50019139,50004374,0.6732,2023.28316669688,5.1,28.94,1.33,14.62,23.4,1.315,0,11437.56,0.033914,0.67,15230.09,0.511059084124516,0.01523009,33.5558807679085
"23099414",50019141,50019140,50004383,0.1881,2022.77210761276,5.11,28.95,1.33,14.62,23.4,0.316,0,11436.24,0.033918,0.19,15229.42,0.06139177306783,0.01522942,4.03113008032019
"23099416",50019142,50019141,50004392,0.0018,2022.71071583969,5.11,28.95,1.33,14.62,23.4,0.021,0,11435.93,0.033919,0,15229.23,0.337616243311888,0.01522923,22.1689634546125
"23099418",50019143,50019142,50004402,0.1494,2022.37309959638,5.11,28.95,1.33,14.62,23.4,0.171,0,11435.91,0.033919,0.15,15229.23,0.0444816037543896,0.01522923,2.92080451568396
"23099420",50019144,50019143,50004412,5.8797,2022.32861799262,5.11,28.95,1.33,14.62,23.4,3.264,0,11435.74,0.033919,5.88,15229.08,0.0487425656061593,0.01522908,3.20062443733695
"23099422",50019145,50019144,50004425,0.3618,2022.27987542702,5.08,28.96,1.32,14.63,23.41,0.427,0,11432.47,0.033929,0.36,15223.2,0.351247156196024,0.0152232,23.0731486281481
"23099424",50019146,50019145,50004438,4.9896,2021.92862827082,5.08,28.96,1.32,14.63,23.41,0.686,0,11432.05,0.03393,4.99,15222.84,0.497633224784963,0.01522284,32.6899070597184
"23099426",50019147,50019146,50004449,7.0056,2021.43099504603,5.06,28.97,1.32,14.63,23.41,0.267,0,11431.36,0.033932,7.01,15217.85,0.0864580449346327,0.01521785,5.68135741478807
"23099428",50019148,50019147,50004460,0.4761,2021.3445370011,5.03,28.98,1.32,14.63,23.41,0.446,0,11431.09,0.033933,0.48,15210.84,0.210475859943629,0.01521084,13.8372279205901
"23099430",50019149,50019148,50004472,0.5418,2021.13406114116,5.03,28.98,1.32,14.63,23.41,0.217,0,11430.65,0.033934,0.54,15210.37,0.0148557084019519,0.01521037,0.976682907907692
"23099432",50019150,50019149,50004484,12.006,2021.11920543275,5.03,28.98,1.32,14.63,23.41,2.19,0,11430.43,0.033935,12.01,15209.82,0.359133681576022,0.01520982,23.6119613234096
"23099434",50019151,50019150,50004497,0.3609,2020.7593048619,4.99,29.01,1.32,14.63,23.41,0.385,0,11425.76,0.033948,0.36,15193.91,0.055784110011368,0.01519391,3.67147824433395
"23099436",50019152,50019151,50004510,5.7807,2020.70352075189,4.99,29.01,1.32,14.63,23.41,3.238,0,11425.38,0.033949,5.78,15193.55,0.204475735428625,0.01519355,13.4580618373339
"23099438",50019153,50019152,50004523,7.6689,2020.49206370226,4.94,29.04,1.32,14.62,23.4,2.694,0,11420.3,0.033963,7.67,15178.66,0.0388141369846002,0.01517866,2.55715175019403
"23099440",50019154,50019153,50004535,0.3141,2020.45324956527,4.93,29.06,1.32,14.61,23.41,0.406,0,11417.61,0.033971,0.31,15170.99,0.00240916126399173,0.01517099,0.158800530749261
"23099442",50019155,50019154,50004547,0.0405,2020.45084040401,4.93,29.06,1.32,14.61,23.41,0.094,0,11417.2,0.033972,0.04,15170.68,0.232261794719042,0.01517068,15.3099132483871
"23099444",50019156,50019155,50004559,0.1602,2020.21857860929,4.93,29.06,1.32,14.61,23.41,0.424,0,11417.11,0.033973,0.16,15170.64,0.141448173992064,0.01517064,9.32381059678854
"23099446",50019157,50019156,50004572,11.9268,2020.0771304353,4.93,29.06,1.32,14.6,23.41,1.149,0,11416.69,0.033974,11.93,15170.48,0.0332682744276016,0.01517048,2.1929612265137
"23099448",50019158,50019157,50004584,0.063,2020.04386216087,4.93,29.08,1.32,14.58,23.4,0.192,0,11415.54,0.033977,0.06,15158.55,0.00305132943955457,0.01515855,0.201294282075434
"23099450",50019159,50019158,50004596,1.8243,2020.04081083143,4.93,29.08,1.32,14.58,23.4,1.327,0,11415.35,0.033978,1.82,15158.49,0.0133723144006538,0.01515849,0.882166653845722
"23099452",50019160,50019159,50004610,1.3563,2020.02743851703,4.92,29.08,1.32,14.58,23.4,0.833,0,11414.02,0.033982,1.36,15156.66,0.0169352513617867,0.01515666,1.1173471834683
"23099454",50019161,50019160,50004624,1.3662,2020.01050326567,4.92,29.09,1.32,14.58,23.4,0.78,0,11413.19,0.033984,1.37,15155.31,0.0118335372321704,0.01515531,0.780817893673595
"23099456",50019162,50019161,50004638,4.248,2019.99866972844,4.92,29.09,1.32,14.57,23.4,1.946,0,11412.41,0.033987,4.25,15153.94,0.148739077819493,0.01515394,9.81520831014857
"23099458",50019163,50019162,50004654,19.9377,2019.84993065062,4.92,29.1,1.32,14.56,23.4,0.294,0,11410.46,0.033992,19.94,15149.69,0.0253936611156741,0.01514969,1.67618354670452
"23099460",50019164,50019163,50004668,35.4222,2019.8245369895,4.92,29.14,1.32,14.47,23.41,4.178,0,11410.17,0.033993,35.42,15129.76,1.41486047964092,0.01512976,93.5150643262629
"23099462",50019165,50019164,50004682,1.053,2018.40967650986,4.92,29.2,1.32,14.48,23.33,0.836,0,11405.99,0.034006,1.05,15094.33,2.39155291543396,0.01509433,158.440481653307
"23099464",50019166,50019165,50004695,2.6874,2016.01812359443,4.92,29.21,1.32,14.48,23.32,1.456,0,11405.15,0.034008,2.69,15093.28,0.752914877271791,0.01509328,49.8841124839525
"23099466",50019167,50019166,50017303,0.0063,0.269175850935996,1.39,0.01,0,4.43,25.51,0.061,0.02,820.61,0.026663,0.01,871.02,0.0053654508954247,0.00087102,6.15996291178699
"23099468",50019168,50019167,50017503,2.5596,0.263810400040571,1.39,0.01,0,4.43,25.51,1.438,0,820.55,0.026641,2.56,871.01,0.00011521836742042,0.00087101,0.132281337091905
"23099470",50019169,50019168,50017702,11.0466,0.263620351241129,1.41,0.01,0,4.5,25.76,1.518,0,798.74,0.026579,11.05,856.41,6.89531337296321e-05,0.00085641,0.0805141622933316
"23099472",50019170,50019169,50017903,2.1474,0.26354639128866,1.41,0.01,0,4.57,25.21,1.413,0,793.2,0.026715,2.15,842.45,7.76585398511826e-05,0.00084245,0.0921817791574368
